id	authId	authSource	name
GND-116278072	116278072	GND	Pourtalès-Gorgier, Jules Henri Charles Frederic de
GND-1127078038	1127078038	GND	Ruspi, Carlo
GND-10079064X	10079064X	GND	Inghirami, Francesco
GND-118774360	118774360	GND	Heyse, Karl Wilhelm Ludwig
GND-117047937	117047937	GND	Minervini, Giulio
GND-118776223	118776223	GND	Joachim, Joseph
GND-117400246	117400246	GND	Tischbein, Carl Wilhelm
GND-116009446	116009446	GND	Afinger, Bernhard
KPE-903361	903361	KPE	Wallenberg, Stanislaus von
GND-119312565	119312565	GND	Gruhle, Hans W.
GND-116934271	116934271	GND	Gutschmid, Alfred von
GND-118505645	118505645	GND	Bachofen, Johann Jakob
GND-1183634714	1183634714	GND	Boileau, John P.
GND-116794992	116794992	GND	Schmieder, Heinrich Eduard
KPE-523190	523190	KPE	Bucci, Giuseppe
KPE-917716	917716	KPE	Colucci, Giuseppe
GND-118860283	118860283	GND	Schulze, Johannes
GND-116648945	116648945	GND	Forbiger, Albert
KPE-907059	907059	KPE	Bardez, Alexius
GND-118987224	118987224	GND	Rumohr, Carl Friedrich von
GND-117608440	117608440	GND	Blouet, Guillaume-Abel
GND-1053514107	1053514107	GND	Pittakys, K. S.
GND-118934686	118934686	GND	Campi, Giuseppe
GND-1085180956	1085180956	GND	Murray, Thomas
GND-1185452494	1185452494	GND	Fromm, Friedrich Gustav Johann
GND-117157007	117157007	GND	Bunsen, Frances von
GND-118797026	118797026	GND	Sickel, Theodor von
KPE-916122	916122	KPE	Campani
GND-101758278	101758278	GND	Trendelenburg, Ferdinande
GND-35017-5	35017-5	GND	Académie des Inscriptions et Belles-Lettres <Paris>
GND-118592858	118592858	GND	Pertz, Georg Heinrich
GND-116186402	116186402	GND	Pinder, Moritz
GND-116297530	116297530	GND	Ambrosch, Julius
GND-100289959	100289959	GND	Jannelli, Cataldo
KPE-903184	903184	KPE	Schür, Wilhelm
GND-118596713	118596713	GND	Prokesch von Osten, Anton
GND-118804928	118804928	GND	Sayn-Wittgenstein-Hohenstein, Wilhelm Ludwig Georg zu
GND-123518717	123518717	GND	Antaldi, Antaldo
GND-118784412	118784412	GND	Möllhausen, Balduin
GND-118683543	118683543	GND	Fiechter, Ernst Robert
GND-117399647	117399647	GND	Winckelmann, August Wilhelm
GND-13965268X	13965268X	GND	Kenner, Friedrich
GND-118749218	118749218	GND	Rauch, Christian Daniel
GND-11684938X	11684938X	GND	Schnyder von Wartensee, Franz Xaver
GND-119179547	119179547	GND	Neureuther, Eugen Napoleon
GND-116156112	116156112	GND	Bettio, Pietro
GND-116089725	116089725	GND	Baumeister, Karl August
GND-118708058	118708058	GND	Humann, Carl
GND-118628356	118628356	GND	Wagner, Johann Martin von
GND-136991092	136991092	GND	Jahn, Jakob
GND-117034436	117034436	GND	Noack, Ferdinand
GND-116146516	116146516	GND	Bernhardy, Gottfried
GND-117077232	117077232	GND	Wachsmuth, Rudolf
GND-141042532	141042532	GND	De Fabris, Emilio
GND-116650117	116650117	GND	Conestabile, Giovanni Carlo
GND-118703714	118703714	GND	Hermann, Gottfried
GND-116947969	116947969	GND	Zacher, Ernst Julius August
GND-116121157	116121157	GND	Benndorf, Otto
GND-118619055	118619055	GND	Strauß, David Friedrich
GND-116086130	116086130	GND	Detlefsen, Detlef
GND-116623853	116623853	GND	Gildemeister, Johann
GND-118628038	118628038	GND	Waagen, Gustav Friedrich
GND-1183636334	1183636334	GND	Bonghi, Onofrio
KPE-897163	897163	KPE	Englaglaudure
GND-116962259	116962259	GND	Neumann, Karl Friedrich
GND-119258056	119258056	GND	Mai, Angelo
GND-118820826	118820826	GND	Fellows, Charles
GND-118847856	118847856	GND	Arco, Karl von
GND-118727699	118727699	GND	Lepsius, Carl Richard
GND-11756673X	11756673X	GND	Bartlett, John Russell
GND-105606966X	105606966X	GND	Gerstäcker, Adolph Theodor
KPE-182624	182624	KPE	Karusu, Semni
GND-11733376X	11733376X	GND	Schwabe, Ludwig
GND-116096039	116096039	GND	Dibelius, Wilhelm
GND-116297034	116297034	GND	Amari, Michele
GND-116786825	116786825	GND	Heydemann, Heinrich
GND-11637070X	11637070X	GND	Asmussen, Jacob
GND-117182648	117182648	GND	Jordan, Julius
GND-100158463	100158463	GND	Halm, Karl Felix
GND-118153803	118153803	GND	Rodriguez de Berlanga, Manuel
GND-119541904	119541904	GND	Göttling, Karl Wilhelm
GND-118527231	118527231	GND	Drake, Friedrich
GND-118882856	118882856	GND	Carrara, Francesco
GND-118612271	118612271	GND	Schwind, Moritz von
GND-118594117	118594117	GND	Wagner, Richard
GND-105377009X	105377009X	GND	Blanco, Lorenzo
GND-117404993	117404993	GND	Toelken, Ernst Heinrich
GND-119145081	119145081	GND	Weber, Theodor
GND-123289033	123289033	GND	Capranesi, Francesco
GND-100804691	100804691	GND	Lützow, Carl von
GND-118607200	118607200	GND	Scherer, Wilhelm
GND-118535994	118535994	GND	Friedrich Wilhelm IV., Preußen, König
GND-116404310	116404310	GND	Reifferscheid, August
GND-136648479	136648479	GND	Lepel, Adolf von
GND-1184945489	1184945489	GND	Casuccini, Carlo
GND-116604662	116604662	GND	Heidel, Hermann Rudolf
GND-124087329	124087329	GND	Ritter, Karl Gottfried
GND-136318673	136318673	GND	Brühl, Friedrich Wilhelm
GND-1000004-5	1000004-5	GND	Pontificia Accademia Romana di Archeologia
GND-1013329228	1013329228	GND	Casoni, Giovanni
GND-117468606	117468606	GND	Vogüé, Charles Jean Melchior de
KPE-907014	907014	KPE	Bansone, Cipriano
GND-118837877	118837877	GND	Thiersch, Friedrich Wilhelm
GND-116111828	116111828	GND	Behrnauer, Walter
GND-100793215	100793215	GND	Petersen, Christian
KPE-636631	636631	KPE	Schwabe, M...
GND-117077070	117077070	GND	Wachsmuth, Curt
GND-117019135	117019135	GND	Sauppe, Hermann
GND-1147240264	1147240264	GND	Alcántara Téllez-Girón y Alfonso-Pimentel, Pedro de
GND-117109827	117109827	GND	Scharnhorst, Wilhelm von
GND-116876573	116876573	GND	Lehrs, Karl
GND-141331844	141331844	GND	Wigger, Heinrich
GND-100146694	100146694	GND	Gruppe, Otto Friedrich
GND-118540254	118540254	GND	Goethe, Ottilie von
GND-116777273	116777273	GND	Brunn, Heinrich von
GND-118824775	118824775	GND	Böttiger, Carl August
GND-116943963	116943963	GND	Lepel, Wilhelm Heinrich von
GND-117480452	117480452	GND	Sprosse, Carl Ferdinand
GND-119418134	119418134	GND	Karl Alexander <Sachsen-Weimar-Eisenach, Großherzog>
GND-1184836086	1184836086	GND	Camilli, Stefano
GND-118825003	118825003	GND	Ebbinghaus, Hermann
GND-119322625	119322625	GND	Baltard, Victor
GND-101867277X	101867277X	GND	Castiglioni, Carlo Ottavio
GND-116993413	116993413	GND	Nibby, Antonio
GND-100741193	100741193	GND	Dindorf, Ludwig August
GND-118768670	118768670	GND	Vischer, Wilhelm
KPE-907028	907028	KPE	Barberi, Tito
GND-119419173	119419173	GND	Haxthausen, Werner von
GND-117014079	117014079	GND	Lindau, August Ferdinand
GND-11684244X	11684244X	GND	Mau, August
GND-116400471	116400471	GND	Cäsar, Julius
GND-117107263	117107263	GND	Oesterley, Carl
KPE-201391	201391	KPE	Touloupa, Evi
GND-101668066	101668066	GND	Steinbüchel, Anton von
GND-141239824	141239824	GND	Landsberg, Ludwig
GND-118502107	118502107	GND	Almers, Hermann
GND-118587773	118587773	GND	Niebuhr, Barthold Georg
GND-116060395	116060395	GND	Paucker, Karl Heinrich von
GND-1184939543	1184939543	GND	Castellane, Joseph
GND-11752753X	11752753X	GND	Holländer, Leo
GND-116796014	116796014	GND	Heyse, Theodor
GND-1145314643	1145314643	GND	Galleffi, Pietro Francesco
GND-130250252	130250252	GND	Mair, Franz (Pädagoge)
GND-116087994	116087994	GND	Baum, Wilhelm Georg
KPE-914783	914783	KPE	Bauerhorst
GND-1026310873	1026310873	GND	Cervelli, Angelo Antonio
GND-117420557	117420557	GND	Witte, Jean Joseph Antoine Marie de
GND-129166812	129166812	GND	François, Alessandro
GND-11604117X	11604117X	GND	Baiter, Johann Georg
GND-119034743	119034743	GND	Haupt, Moriz
GND-118630741	118630741	GND	Welcker, Friedrich Gottlieb
GND-118792237	118792237	GND	Pinder, Wilhelm
GND-100213413	100213413	GND	Millingen, James V.
GND-116839503	116839503	GND	Schneidewin, Friedrich Wilhelm
GND-116447621	116447621	GND	Capobianchi, Pietro
GND-128772646	128772646	GND	Borghese-Aldobrandini, Francesco
GND-117410926	117410926	GND	Schwenck, Johann Konrad
GND-119138026	119138026	GND	Newton, Charles Thomas
GND-116240296	116240296	GND	Klügmann, Adolf
KPE-350993	350993	KPE	Westerkamp, Siegfried
GND-119181304	119181304	GND	Begas, Karl
GND-100370306	100370306	GND	Lodge, Edmund
GND-11880524X	11880524X	GND	Steinhäuser, Carl Johann
GND-105340879X	105340879X	GND	DeKigallas, Ioseph
GND-116189398	116189398	GND	Piot, Charles
GND-116021438	116021438	GND	Kahlert, Anton Josef
GND-1041847998	1041847998	GND	Alessi, Giuseppe
GND-118968599	118968599	GND	Classen, Johannes
GND-11623539X	11623539X	GND	Klotz, Reinhold
GND-1055345817	1055345817	GND	Diamilla Müller, Demetrio Emilio
GND-1185511202	1185511202	GND	Harvey, George C.
GND-116444541	116444541	GND	Reimer, Karl August
GND-119034778	119034778	GND	Passow, Franz
GND-118513540	118513540	GND	Borghese, Pauline
GND-116001291	116001291	GND	Abeken, Wilhelm
GND-1150784016	1150784016	GND	Mariani, Gregorio
GND-100158218	100158218	GND	Hand, Ferdinand Gotthelf
GND-121065847	121065847	GND	Arnswald, Bernhard von
GND-11698452X	11698452X	GND	Zeuner, August
GND-118607057	118607057	GND	Schelling, Friedrich Wilhelm Joseph von
GND-116762101	116762101	GND	Herzog, Christian Gottlob
GND-101921632	101921632	GND	Napoléon Joseph Charles Paul Bonaparte <France, Prince>
GND-116797266	116797266	GND	Friedländer, Julius
GND-118714325	118714325	GND	Justi, Carl
KPE-907066	907066	KPE	Spagnia, Pietro Paolo
GND-11725939X	11725939X	GND	Lucae, Karl
GND-115669159	115669159	GND	Eckes, Richard
GND-11759542X	11759542X	GND	La Rochejaquelein, Henri-Auguste-Georges du Verger de
GND-118697811	118697811	GND	Grimme, Adolf
GND-104045213	104045213	GND	Eichstaedt, Heinrich Carl Abraham
GND-118722107	118722107	GND	Kestner, August
GND-101160097	101160097	GND	Hirschfeld, Gustav
KPE-504287	504287	KPE	Müller, Ludwig von
GND-116595914	116595914	GND	Roestell, Friedrich Wilhelm
