id	name	authId	authSource	lat	lng
GAZ-2178759	Ravenna	2178759	GAZ	44.41344	12.20121
GAZ-2072955	Recanati	2072955	GAZ	43.40381	13.55379
GAZ-2315111	Reggio nell'Emilia	2315111	GAZ	44.69825	10.63125
GAZ-2749105	Rigi Scheidegg	2749105	GAZ	47.02683	8.51993
GAZ-2346936	Rimini	2346936	GAZ	44.05755	12.56528
GAZ-2180648	Rocca di Papa	2180648	GAZ	41.7658	12.70188
GND-2002209-8	Rolandseck	2002209-8	GND	null	null
GAZ-4050471-2	Rom	4050471-2	GAZ	41.89474	12.4839
GAZ-2323295	Rom	2323295	GAZ	41.89474	12.4839
GAZ-2765503	Rorschach	2765503	GAZ	47.478814	9.493842
GND-4288101-8	Rottach	4288101-8	GND	null	null
GAZ-2081087	Rouen	2081087	GAZ	49.44313	1.09932
GND-4235666-0	Royan	4235666-0	GND	45.628459	-1.0281
GAZ-2141902	Rudolstadt	2141902	GAZ	50.718066	11.334376
DE-611-29225	Ruvo di Puglia	29225	DE-611	null	null
GND-1169356192	Saint-Cyr-sur-Loire	1169356192	GND	47.4	0.666666
DE-611-29248	Salerno	29248	DE-611	null	null
GAZ-2345127	San Marino	2345127	GAZ	43.9367	12.4463
DE-611-27198	San Remo	27198	DE-611	null	null
DE-611-29280	San Severino Marche	29280	DE-611	null	null
DE-611-29281	San Severo	29281	DE-611	null	null
DE-611-29284	Sangerhausen	29284	DE-611	null	null
GND-4267026-3	Sankt Petersburg	4267026-3	GND	59.89444	30.26417
DE-611-29287	Sansepolcro	29287	DE-611	null	null
GAZ-2073226	Sarteano	2073226	GAZ	42.99193	11.86472
GAZ-2070535	Savignano sul Rubicone	2070535	GAZ	44.09009	12.39935
DE-611-56357	Schierstein	56357	DE-611	null	null
GAZ-2765548	Schleswig <Stadt>	2765548	GAZ	54.51494	9.56679
GND-1075603110	Schloss- und Parkanlage Sanssouci <Potsdam>	1075603110	GND	52.404166	13.038333
GND-4053783-3	Schwarzenbek	4053783-3	GND	53.50303	10.480549
GND-1022063154	Seifersdorf	1022063154	GND	51.159444	13.880833
GAZ-2345124	Selinunt	2345124	GAZ	37.582967	12.824505
GAZ-2765487	Selm-Cappenberg	2765487	GAZ	51.651278	7.539182
DE-611-29372	Senigallia	29372	DE-611	null	null
GAZ-2361218	Sevilla	2361218	GAZ	37.38283	-5.97317
GAZ-2067379	Siebenbürgen	2067379	GAZ	46.5	25.0
GND-4816315-6	Siebleben	4816315-6	GND	50.94265	10.746219
DE-611-26618	Siena	26618	DE-611	null	null
GAZ-2337546	Siena	2337546	GAZ	43.321187	11.329608
GAZ-4077464-8	Siros	4077464-8	GAZ	37.43333	24.91667
DE-611-35694	Sora	35694	DE-611	null	null
GAZ-2096371	Sorrent	2096371	GAZ	40.624042	14.37458
GND-4275011-8	Sorrento (Victoria, Staat)	4275011-8	GND	-38.31667	144.733329
GAZ-2053918	Split	2053918	GAZ	43.50891	16.43915
DE-611-29447	Spoleto	29447	DE-611	null	null
DE-611-20045	St. Jean de Luz b. Biarritz	20045	DE-611	null	null
DE-611-4710	St. Petersburg	4710	DE-611	null	null
