id	authId	authSource	name
GND-116125888	116125888	GND	Kellermann, Olaus Christian
GND-118866737	118866737	GND	Quatremère de Quincy, Antoine Chrysostôme
GND-118892320	118892320	GND	Göschel, Carl Friedrich
GND-116060395	116060395	GND	Paucker, Karl Heinrich von
GND-116030674	116030674	GND	Papencordt, Felix
KPE-812379	812379	KPE	Landolina Nava, Marius
GND-117029270	117029270	GND	Migliarini, Angelo Michele
GND-119239841	119239841	GND	Rosellini, Ippolito
GND-117139076	117139076	GND	Ingenheim, Gustav Adolf von
GND-117148725	117148725	GND	Orti Manara, Giovanni Girolamo
GND-11881656X	11881656X	GND	Lipschitz, Rudolf
GND-116917563	116917563	GND	Hitzig, Hermann
GND-118683632	118683632	GND	Finlay, George
GND-116848642	116848642	GND	Le Bas, Philippe
GND-118587234	118587234	GND	Neukomm, Sigismund von
GND-118677330	118677330	GND	Creuzer, Friedrich
GND-116976012	116976012	GND	Zell, Karl
GND-11954153X	11954153X	GND	Müller, Karl Otfried
KPE-907031	907031	KPE	Barberi
GND-116189398	116189398	GND	Piot, Charles
GND-116313374	116313374	GND	Purgold, Alfred
GND-118505645	118505645	GND	Bachofen, Johann Jakob
GND-11853839X	11853839X	GND	Genelli, Bonaventura
GND-101921632	101921632	GND	Napoléon Joseph Charles Paul Bonaparte <France, Prince>
GND-116253215	116253215	GND	Bormann, Eugen
GND-118710605	118710605	GND	Henzen, Wilhelm
GND-118992767	118992767	GND	Riepenhausen, Franz
GND-116503122	116503122	GND	Hartung, Johann Adam
KPE-776910	776910	KPE	Lauer, Friedrich Wilhelm
GND-100741193	100741193	GND	Dindorf, Ludwig August
GND-118693441	118693441	GND	Friedländer, Max J.
GND-11735225X	11735225X	GND	Struve, Jakob Theodor
GND-118527231	118527231	GND	Drake, Friedrich
GND-117357944	117357944	GND	Wigand, Otto
GND-119120852	119120852	GND	De Rossi, Giovanni Battista
GND-117410306	117410306	GND	Winterfeld, Adolf Wilhelm Ernst von
GND-118617109	118617109	GND	Steffens, Henrik
GND-116318848	116318848	GND	Raabe, Abraham Gottlieb
GND-1156300673	1156300673	GND	Jahn, Otto
GND-116023260	116023260	GND	Panofka, Theodor Sigismund
GND-119502410	119502410	GND	Ferdinand <II., Neapel, König>
GND-106765562X	106765562X	GND	Campanari, Domenico
GND-116714085	116714085	GND	Brosch, Moritz
GND-104136421	104136421	GND	Stier, Wilhelm
GND-117479373	117479373	GND	Springer, Anton
GND-117425478	117425478	GND	Troyon, Frédéric
KPE-902950	902950	KPE	Freiburger, E.
KPE-897394	897394	KPE	Freudenrich
GND-116156112	116156112	GND	Bettio, Pietro
GND-119342316	119342316	GND	Bianchi, Pietro
GND-116934271	116934271	GND	Gutschmid, Alfred von
